video-UID,clip_title,labeler,class
10000,5yo_vs_Mickey_slice0_slice0.mp4,Alex,99
10001,5yo_vs_Mickey_slice10_slice0.mp4,Alex,99
10002,5yo_vs_Mickey_slice15_slice0.mp4,Alex,99
10006,Australian_flash_mob_dance_slice10.mp4,Alex,99
10007,Australian_flash_mob_dance_slice100.mp4,Alex,99
10008,Australian_flash_mob_dance_slice105.mp4,Alex,99
10011,Australian_flash_mob_dance_slice120.mp4,Alex,99
10020,Australian_flash_mob_dance_slice160.mp4,Alex,99
10027,Australian_flash_mob_dance_slice195.mp4,Alex,99
10034,Australian_flash_mob_dance_slice225.mp4,Alex,99
10035,Australian_flash_mob_dance_slice230.mp4,Alex,99
10036,Australian_flash_mob_dance_slice235.mp4,Alex,99
10038,Australian_flash_mob_dance_slice245.mp4,Alex,99
10039,Australian_flash_mob_dance_slice25.mp4,Alex,99
10046,Australian_flash_mob_dance_slice280.mp4,Alex,99
10049,Australian_flash_mob_dance_slice295.mp4,Alex,99
10051,Australian_flash_mob_dance_slice35.mp4,Alex,99
10054,Australian_flash_mob_dance_slice5.mp4,Alex,99
10070,British_Football_Hooligans_Mix_3__MorningGlory1997__kW23lUV6oFk_slice5.mp4,Alex,99
10084,ByronBay_slice150.mp4,Alex,99
10104,ByronBay_slice245.mp4,Alex,99
10109,ByronBay_slice30.mp4,Alex,99
10114,ByronBay_slice50.mp4,Alex,99
10124,FENERBAHCE_ULTRAS_VS_COPS_VIOLENCE_RIOT__2maxpower1453__e7Bv5fTBqqI_slice0.mp4,Alex,99
10131,French_flashmob_circle_slice115.mp4,Alex,99
10136,French_flashmob_circle_slice140.mp4,Alex,99
10144,French_flashmob_circle_slice175.mp4,Alex,99
10145,French_flashmob_circle_slice180.mp4,Alex,99
10146,French_flashmob_circle_slice185.mp4,Alex,99
10152,French_flashmob_circle_slice210.mp4,Alex,99
10156,French_flashmob_circle_slice230.mp4,Alex,99
10173,French_flashmob_circle_slice305.mp4,Alex,99
10175,French_flashmob_circle_slice315.mp4,Alex,99
10178,French_flashmob_circle_slice330.mp4,Alex,99
10183,French_flashmob_circle_slice350.mp4,Alex,99
10188,French_flashmob_circle_slice375.mp4,Alex,99
10205,HShackeysack_slice105.mp4,Alex,99
10206,HShackeysack_slice110.mp4,Alex,99
10223,HShackeysack_slice190.mp4,Alex,99
10228,HShackeysack_slice210.mp4,Alex,99
10229,HShackeysack_slice215.mp4,Alex,99
10239,HShackeysack_slice260.mp4,Alex,99
10242,HShackeysack_slice275.mp4,Alex,99
10245,HShackeysack_slice290.mp4,Alex,99
10246,HShackeysack_slice295.mp4,Alex,99
10247,HShackeysack_slice30.mp4,Alex,99
10249,HShackeysack_slice305.mp4,Alex,99
10251,HShackeysack_slice315.mp4,Alex,99
10256,HShackeysack_slice340.mp4,Alex,99
10275,HShackeysack_slice65.mp4,Alex,99
10283,Hooligans_violence__5x5_russian_hooligans_fight__Parkhom__GnfpwW6sMkc_slice10.mp4,Alex,99
10287,Hooligans_violence__Accidents_Fights_Violence_Tragedies_Hooligans_Football_Fights_HORRIBLE_THINGS__darkhero00__PgujG07PUq0_slice5.mp4,Alex,99
10288,Hooligans_violence__Croatia_Hooligans__EXB04__JQrSRtqoU_I.mp4,Alex,99
10290,Hooligans_violence__FENERBAHCE_ULTRAS_VS_COPS_VIOLENCE_RIOT__2maxpower1453__e7Bv5fTB.mp4,Alex,99
10292,Hooligans_violence__FUCK_YOU_FOOTBALL_HOOLIGANS_RUSSIA_and_UKRAINE_part1__W00FAM__DB9PSdrfulE.mp4,Alex,99
10293,Hooligans_violence__Football_Hooligans_Carlisle_v_Preston_1993__prestonparasoccer__J.mp4,Alex,99
10298,Hooligans_violence__Football_Hooligans_QPR_v_Luton_St_Pancras__prestonparasoccer__DNL6VlA3hnQ.mp4,Alex,99
10299,Hooligans_violence__Football_hooligans_Reading_Swansea_1993__MrSmasherlad__9I7MpDQc82k_slice0.mp4,Alex,99
10315,Hooligans_violence__Polish_Hooligans__tigardojaja__YLSsmo2Glyk.mp4,Alex,99
10316,Hooligans_violence__Russian_Hooligans_Zenit_St_Petersburg__LordXavior__iMjISeT72vQ_slice0.mp4,Alex,99
10319,Hooligans_violence__Torcida_do_Flamengo_x_PM_na_Final_da_Copa_do_Brasil__craigrj__kK.mp4,Alex,99
10327,NV_100.mp4,Alex,99
10328,NV_1000.mp4,Alex,99
10346,NV_117.mp4,Alex,99
10350,NV_120.mp4,Alex,99
10383,NV_15.mp4,Alex,99
10384,NV_150.mp4,Alex,99
10399,NV_164.mp4,Alex,99
10401,NV_166.mp4,Alex,99
10403,NV_168.mp4,Alex,99
10407,NV_171.mp4,Alex,99
10412,NV_176.mp4,Alex,99
10427,NV_19.mp4,Alex,99
10428,NV_190.mp4,Alex,99
10429,NV_191.mp4,Alex,99
10431,NV_193.mp4,Alex,99
10440,NV_200.mp4,Alex,99
10445,NV_205.mp4,Alex,99
10454,NV_213.mp4,Alex,99
10460,NV_219.mp4,Alex,99
10466,NV_224.mp4,Alex,99
10469,NV_227.mp4,Alex,99
10473,NV_230.mp4,Alex,99
10475,NV_232.mp4,Alex,99
10477,NV_234.mp4,Alex,99
10481,NV_238.mp4,Alex,99
10485,NV_241.mp4,Alex,99
10486,NV_242.mp4,Alex,99
10490,NV_246.mp4,Alex,99
10501,NV_256.mp4,Alex,99
10507,NV_261.mp4,Alex,99
10508,NV_262.mp4,Alex,99
10511,NV_265.mp4,Alex,99
10516,NV_27.mp4,Alex,99
10517,NV_270.mp4,Alex,99
10523,NV_276.mp4,Alex,99
10531,NV_283.mp4,Alex,99
10536,NV_287.mp4,Alex,99
10547,NV_297.mp4,Alex,99
10549,NV_299.mp4,Alex,99
10551,NV_30.mp4,Alex,99
10565,NV_312.mp4,Alex,99
10576,NV_322.mp4,Alex,99
10585,NV_330.mp4,Alex,99
10589,NV_334.mp4,Alex,99
10605,NV_348.mp4,Alex,99
10608,NV_350_slice0.mp4,Alex,99
10609,NV_351_slice0.mp4,Alex,99
10612,NV_353.mp4,Alex,99
10613,NV_354.mp4,Alex,99
10620,NV_360.mp4,Alex,99
10624,NV_364.mp4,Alex,99
10626,NV_366.mp4,Alex,99
10627,NV_367.mp4,Alex,99
10636,NV_375.mp4,Alex,99
10642,NV_380.mp4,Alex,99
10644,NV_382.mp4,Alex,99
10648,NV_386.mp4,Alex,99
10655,NV_393.mp4,Alex,99
10661,NV_399.mp4,Alex,99
10664,NV_400.mp4,Alex,99
10676,NV_411.mp4,Alex,99
10678,NV_413.mp4,Alex,99
10698,NV_431.mp4,Alex,99
10703,NV_436.mp4,Alex,99
10706,NV_439.mp4,Alex,99
10707,NV_44.mp4,Alex,99
10711,NV_443.mp4,Alex,99
10731,NV_462.mp4,Alex,99
10735,NV_466.mp4,Alex,99
10739,NV_47.mp4,Alex,99
10740,NV_470.mp4,Alex,99
10757,NV_486.mp4,Alex,99
10776,NV_502.mp4,Alex,99
10777,NV_503.mp4,Alex,99
10780,NV_506.mp4,Alex,99
10781,NV_507.mp4,Alex,99
10785,NV_510.mp4,Alex,99
10786,NV_511.mp4,Alex,99
10799,NV_523.mp4,Alex,99
10801,NV_525.mp4,Alex,99
10807,NV_530.mp4,Alex,99
10808,NV_531.mp4,Alex,99
10830,NV_551.mp4,Alex,99
10831,NV_552.mp4,Alex,99
10843,NV_563.mp4,Alex,99
10847,NV_567.mp4,Alex,99
10850,NV_57.mp4,Alex,99
10860,NV_579.mp4,Alex,99
10869,NV_587.mp4,Alex,99
10881,NV_598.mp4,Alex,99
10884,NV_60.mp4,Alex,99
10886,NV_601.mp4,Alex,99
10897,NV_611.mp4,Alex,99
10899,NV_613.mp4,Alex,99
10900,NV_614.mp4,Alex,99
10901,NV_615.mp4,Alex,99
10906,NV_62.mp4,Alex,99
10909,NV_622.mp4,Alex,99
10914,NV_627.mp4,Alex,99
10920,NV_632.mp4,Alex,99
10933,NV_644.mp4,Alex,99
10936,NV_647.mp4,Alex,99
10941,NV_651.mp4,Alex,99
10952,NV_661.mp4,Alex,99
10959,NV_668.mp4,Alex,99
10966,NV_674.mp4,Alex,99
10973,NV_680.mp4,Alex,99
10976,NV_683.mp4,Alex,99
10977,NV_684.mp4,Alex,99
10981,NV_688.mp4,Alex,99
10984,NV_690.mp4,Alex,99
10989,NV_695.mp4,Alex,99
10990,NV_696.mp4,Alex,99
10992,NV_698.mp4,Alex,99
11000,NV_704.mp4,Alex,99
11003,NV_707.mp4,Alex,99
11013,NV_716.mp4,Alex,99
11021,NV_723.mp4,Alex,99
11026,NV_728.mp4,Alex,99
11029,NV_730_slice0.mp4,Alex,99
11033,NV_733_slice0.mp4,Alex,99
11035,NV_734_slice0.mp4,Alex,99
11049,NV_746.mp4,Alex,99
11050,NV_747.mp4,Alex,99
11059,NV_755.mp4,Alex,99
11075,NV_769.mp4,Alex,99
11087,NV_78.mp4,Alex,99
11094,NV_786.mp4,Alex,99
11096,NV_788.mp4,Alex,99
11109,NV_8.mp4,Alex,99
11134,NV_821.mp4,Alex,99
11150,NV_837.mp4,Alex,99
11156,NV_841.mp4,Alex,99
11172,NV_856.mp4,Alex,99
11176,NV_86.mp4,Alex,99
11177,NV_860.mp4,Alex,99
11180,NV_863.mp4,Alex,99
11181,NV_864.mp4,Alex,99
11185,NV_868.mp4,Alex,99
11188,NV_870.mp4,Alex,99
11189,NV_871.mp4,Alex,99
11191,NV_873.mp4,Alex,99
11193,NV_875.mp4,Alex,99
11195,NV_877.mp4,Alex,99
11196,NV_878.mp4,Alex,99
11202,NV_883.mp4,Alex,99
11210,NV_890.mp4,Alex,99
11212,NV_892.mp4,Alex,99
11214,NV_894.mp4,Alex,99
11230,NV_908.mp4,Alex,99
11231,NV_909.mp4,Alex,99
11234,NV_911.mp4,Alex,99
11246,NV_922.mp4,Alex,99
11249,NV_925.mp4,Alex,99
11250,NV_926.mp4,Alex,99
11260,NV_936.mp4,Alex,99
11263,NV_940.mp4,Alex,99
11267,NV_944.mp4,Alex,99
11269,NV_946.mp4,Alex,99
11271,NV_948.mp4,Alex,99
11272,NV_949.mp4,Alex,99
11279,NV_955.mp4,Alex,99
11285,NV_960.mp4,Alex,99
11287,NV_962.mp4,Alex,99
11291,NV_966.mp4,Alex,99
11296,NV_970.mp4,Alex,99
11298,NV_972.mp4,Alex,99
11302,NV_976.mp4,Alex,99
11306,NV_98.mp4,Alex,99
11313,NV_986.mp4,Alex,99
11316,NV_989.mp4,Alex,99
11321,NV_992_slice10.mp4,Alex,99
11322,NV_992_slice100.mp4,Alex,99
11326,NV_992_slice120.mp4,Alex,99
11328,NV_992_slice130.mp4,Alex,99
11337,NV_992_slice170.mp4,Alex,99
11344,NV_992_slice45.mp4,Alex,99
11369,PutHandsUp_slice110.mp4,Alex,99
11376,PutHandsUp_slice145.mp4,Alex,99
11379,PutHandsUp_slice155.mp4,Alex,99
11380,PutHandsUp_slice160.mp4,Alex,99
11381,PutHandsUp_slice20.mp4,Alex,99
11385,PutHandsUp_slice40.mp4,Alex,99
11400,SouthAmericanDrumline_slice100.mp4,Alex,99
11403,SouthAmericanDrumline_slice115.mp4,Alex,99
11405,SouthAmericanDrumline_slice125.mp4,Alex,99
11412,SouthAmericanDrumline_slice155.mp4,Alex,99
11421,SouthAmericanDrumline_slice40.mp4,Alex,99
11424,SouthAmericanDrumline_slice50.mp4,Alex,99
11428,SouthAmericanDrumline_slice70.mp4,Alex,99
11444,US_NC_asheville_drum_circle_slice140.mp4,Alex,99
11446,US_NC_asheville_drum_circle_slice15.mp4,Alex,99
11448,US_NC_asheville_drum_circle_slice155.mp4,Alex,99
11453,US_NC_asheville_drum_circle_slice180.mp4,Alex,99
11456,US_NC_asheville_drum_circle_slice195.mp4,Alex,99
11459,US_NC_asheville_drum_circle_slice205.mp4,Alex,99
11467,US_NC_asheville_drum_circle_slice245.mp4,Alex,99
11479,US_NC_asheville_drum_circle_slice30.mp4,Alex,99
11482,US_NC_asheville_drum_circle_slice310.mp4,Alex,99
11492,US_NC_asheville_drum_circle_slice355.mp4,Alex,99
11505,US_NC_asheville_drum_circle_slice415.mp4,Alex,99
11517,US_NC_asheville_drum_circle_slice470.mp4,Alex,99
11528,US_NC_asheville_drum_circle_slice515.mp4,Alex,99
11529,US_NC_asheville_drum_circle_slice520.mp4,Alex,99
11532,US_NC_asheville_drum_circle_slice535.mp4,Alex,99
11535,US_NC_asheville_drum_circle_slice55.mp4,Alex,99
11537,US_NC_asheville_drum_circle_slice555.mp4,Alex,99
11547,US_NC_asheville_drum_circle_slice600.mp4,Alex,99
11549,US_NC_asheville_drum_circle_slice610.mp4,Alex,99
11550,US_NC_asheville_drum_circle_slice615.mp4,Alex,99
11551,US_NC_asheville_drum_circle_slice620.mp4,Alex,99
11560,US_NC_asheville_drum_circle_slice660.mp4,Alex,99
11562,US_NC_asheville_drum_circle_slice670.mp4,Alex,99
11564,US_NC_asheville_drum_circle_slice680.mp4,Alex,99
11567,US_NC_asheville_drum_circle_slice695.mp4,Alex,99
11568,US_NC_asheville_drum_circle_slice70.mp4,Alex,99
11576,US_NC_asheville_drum_circle_slice735.mp4,Alex,99
11579,US_NC_asheville_drum_circle_slice75.mp4,Alex,99
11594,US_NC_asheville_drum_circle_slice815.mp4,Alex,99
11603,US_NC_asheville_drum_circle_slice855.mp4,Alex,99
11606,US_NC_asheville_drum_circle_slice870.mp4,Alex,99
11609,US_NC_asheville_drum_circle_slice885.mp4,Alex,99
11610,US_NC_asheville_drum_circle_slice890.mp4,Alex,99
11617,V_1000.mp4,Alex,99
11618,V_101.mp4,Alex,99
11635,V_116_slice0.mp4,Alex,99
11649,V_129_slice0.mp4,Alex,99
11651,V_131_slice0.mp4,Alex,99
11653,V_133_slice0.mp4,Alex,99
11664,V_141_slice0.mp4,Alex,99
11674,V_149_slice0.mp4,Alex,99
11680,V_154_slice0.mp4,Alex,99
11682,V_156.mp4,Alex,99
11683,V_157.mp4,Alex,99
11684,V_158.mp4,Alex,99
11687,V_160.mp4,Alex,99
11688,V_161.mp4,Alex,99
11696,V_169.mp4,Alex,99
11699,V_170.mp4,Alex,99
11722,V_191_slice0.mp4,Alex,99
11724,V_193_slice0.mp4,Alex,99
11726,V_195.mp4,Alex,99
11731,V_2.mp4,Alex,99
11732,V_20.mp4,Alex,99
11739,V_209_slice0.mp4,Alex,99
11740,V_21_slice0.mp4,Alex,99
11743,V_211_slice0.mp4,Alex,99
11744,V_212_slice0.mp4,Alex,99
11753,V_220_slice0.mp4,Alex,99
11757,V_224_slice0.mp4,Alex,99
11762,V_230_slice0.mp4,Alex,99
11765,V_233_slice0.mp4,Alex,99
11774,V_240_slice0.mp4,Alex,99
11775,V_241.mp4,Alex,99
11777,V_243.mp4,Alex,99
11778,V_244.mp4,Alex,99
11794,V_260.mp4,Alex,99
11810,V_276_slice0.mp4,Alex,99
11813,V_279_slice0.mp4,Alex,99
11818,V_284_slice0.mp4,Alex,99
11830,V_296.mp4,Alex,99
11833,V_299_slice0.mp4,Alex,99
11842,V_303_slice5.mp4,Alex,99
11843,V_304_slice0.mp4,Alex,99
11846,V_307_slice0.mp4,Alex,99
11849,V_31.mp4,Alex,99
11873,V_332_slice0.mp4,Alex,99
11879,V_338.mp4,Alex,99
11881,V_34.mp4,Alex,99
11886,V_344.mp4,Alex,99
11887,V_345.mp4,Alex,99
11893,V_35.mp4,Alex,99
11903,V_358_slice0.mp4,Alex,99
11908,V_360_slice0.mp4,Alex,99
11916,V_367.mp4,Alex,99
11925,V_376.mp4,Alex,99
11927,V_377_slice10.mp4,Alex,99
11934,V_382.mp4,Alex,99
11944,V_391.mp4,Alex,99
11948,V_395.mp4,Alex,99
11950,V_397.mp4,Alex,99
11962,V_408.mp4,Alex,99
11971,V_415.mp4,Alex,99
11976,V_42.mp4,Alex,99
11984,V_428.mp4,Alex,99
11985,V_429.mp4,Alex,99
11986,V_43.mp4,Alex,99
11987,V_430.mp4,Alex,99
12003,V_445.mp4,Alex,99
12007,V_449.mp4,Alex,99
12009,V_450_slice0.mp4,Alex,99
12012,V_453.mp4,Alex,99
12024,V_463_slice0.mp4,Alex,99
12031,V_47.mp4,Alex,99
12052,V_49.mp4,Alex,99
12055,V_492_slice0.mp4,Alex,99
12069,V_504_slice0.mp4,Alex,99
12070,V_505_slice0.mp4,Alex,99
12078,V_512.mp4,Alex,99
12081,V_515.mp4,Alex,99
12082,V_516.mp4,Alex,99
12087,V_52_slice5.mp4,Alex,99
12088,V_520.mp4,Alex,99
12101,V_533_slice0.mp4,Alex,99
12107,V_539_slice0.mp4,Alex,99
12110,V_541_slice0.mp4,Alex,99
12117,V_548_slice0.mp4,Alex,99
12118,V_549_slice0.mp4,Alex,99
12120,V_550_slice0.mp4,Alex,99
12126,V_556_slice0.mp4,Alex,99
12127,V_557_slice0.mp4,Alex,99
12128,V_558_slice0.mp4,Alex,99
12130,V_560_slice0.mp4,Alex,99
12132,V_562_slice0.mp4,Alex,99
12140,V_57.mp4,Alex,99
12141,V_570_slice0.mp4,Alex,99
12142,V_571_slice0.mp4,Alex,99
12143,V_572_slice0.mp4,Alex,99
12149,V_578_slice0.mp4,Alex,99
12151,V_58.mp4,Alex,99
12159,V_587_slice0.mp4,Alex,99
12163,V_591_slice0.mp4,Alex,99
12164,V_592_slice0.mp4,Alex,99
12165,V_593_slice0.mp4,Alex,99
12173,V_60.mp4,Alex,99
12177,V_603_slice0.mp4,Alex,99
