video-UID,clip_title,labeler,class
0,5yo_vs_Mickey_slice0.mp4,TBD,99
1,5yo_vs_Mickey_slice10.mp4,TBD,99
2,5yo_vs_Mickey_slice15.mp4,TBD,99
5,Australian_flash_mob_dance_slice0.mp4,TBD,99
6,Australian_flash_mob_dance_slice10.mp4,TBD,99
7,Australian_flash_mob_dance_slice100.mp4,TBD,99
8,Australian_flash_mob_dance_slice105.mp4,TBD,99
10,Australian_flash_mob_dance_slice115.mp4,TBD,99
11,Australian_flash_mob_dance_slice120.mp4,TBD,99
12,Australian_flash_mob_dance_slice125.mp4,TBD,99
14,Australian_flash_mob_dance_slice135.mp4,TBD,99
15,Australian_flash_mob_dance_slice140.mp4,TBD,99
16,Australian_flash_mob_dance_slice145.mp4,TBD,99
18,Australian_flash_mob_dance_slice150.mp4,TBD,99
19,Australian_flash_mob_dance_slice155.mp4,TBD,99
20,Australian_flash_mob_dance_slice160.mp4,TBD,99
22,Australian_flash_mob_dance_slice170.mp4,TBD,99
23,Australian_flash_mob_dance_slice175.mp4,TBD,99
24,Australian_flash_mob_dance_slice180.mp4,TBD,99
25,Australian_flash_mob_dance_slice185.mp4,TBD,99
27,Australian_flash_mob_dance_slice195.mp4,TBD,99
28,Australian_flash_mob_dance_slice20.mp4,TBD,99
30,Australian_flash_mob_dance_slice205.mp4,TBD,99
31,Australian_flash_mob_dance_slice210.mp4,TBD,99
32,Australian_flash_mob_dance_slice215.mp4,TBD,99
33,Australian_flash_mob_dance_slice220.mp4,TBD,99
34,Australian_flash_mob_dance_slice225.mp4,TBD,99
35,Australian_flash_mob_dance_slice230.mp4,TBD,99
36,Australian_flash_mob_dance_slice235.mp4,TBD,99
37,Australian_flash_mob_dance_slice240.mp4,TBD,99
38,Australian_flash_mob_dance_slice245.mp4,TBD,99
39,Australian_flash_mob_dance_slice25.mp4,TBD,99
40,Australian_flash_mob_dance_slice250.mp4,TBD,99
41,Australian_flash_mob_dance_slice255.mp4,TBD,99
42,Australian_flash_mob_dance_slice260.mp4,TBD,99
43,Australian_flash_mob_dance_slice265.mp4,TBD,99
44,Australian_flash_mob_dance_slice270.mp4,TBD,99
46,Australian_flash_mob_dance_slice280.mp4,TBD,99
47,Australian_flash_mob_dance_slice285.mp4,TBD,99
49,Australian_flash_mob_dance_slice295.mp4,TBD,99
50,Australian_flash_mob_dance_slice30.mp4,TBD,99
51,Australian_flash_mob_dance_slice35.mp4,TBD,99
52,Australian_flash_mob_dance_slice40.mp4,TBD,99
54,Australian_flash_mob_dance_slice5.mp4,TBD,99
55,Australian_flash_mob_dance_slice50.mp4,TBD,99
56,Australian_flash_mob_dance_slice55.mp4,TBD,99
57,Australian_flash_mob_dance_slice60.mp4,TBD,99
59,Australian_flash_mob_dance_slice70.mp4,TBD,99
60,Australian_flash_mob_dance_slice75.mp4,TBD,99
61,Australian_flash_mob_dance_slice80.mp4,TBD,99
62,Australian_flash_mob_dance_slice85.mp4,TBD,99
63,Australian_flash_mob_dance_slice90.mp4,TBD,99
65,British_Football_Hooligans_Mix_3__MorningGlory1997__kW23lUV6oFk.avi,TBD,99
66,ByronBay_slice0.mp4,TBD,99
67,ByronBay_slice10.mp4,TBD,99
68,ByronBay_slice100.mp4,TBD,99
69,ByronBay_slice105.mp4,TBD,99
70,ByronBay_slice110.mp4,TBD,99
71,ByronBay_slice115.mp4,TBD,99
72,ByronBay_slice120.mp4,TBD,99
73,ByronBay_slice125.mp4,TBD,99
74,ByronBay_slice130.mp4,TBD,99
75,ByronBay_slice135.mp4,TBD,99
77,ByronBay_slice145.mp4,TBD,99
78,ByronBay_slice15.mp4,TBD,99
80,ByronBay_slice155.mp4,TBD,99
81,ByronBay_slice160.mp4,TBD,99
82,ByronBay_slice165.mp4,TBD,99
84,ByronBay_slice175.mp4,TBD,99
85,ByronBay_slice180.mp4,TBD,99
86,ByronBay_slice185.mp4,TBD,99
87,ByronBay_slice190.mp4,TBD,99
88,ByronBay_slice195.mp4,TBD,99
89,ByronBay_slice20.mp4,TBD,99
90,ByronBay_slice200.mp4,TBD,99
91,ByronBay_slice205.mp4,TBD,99
92,ByronBay_slice210.mp4,TBD,99
93,ByronBay_slice215.mp4,TBD,99
95,ByronBay_slice225.mp4,TBD,99
96,ByronBay_slice230.mp4,TBD,99
97,ByronBay_slice235.mp4,TBD,99
98,ByronBay_slice240.mp4,TBD,99
99,ByronBay_slice245.mp4,TBD,99
101,ByronBay_slice250.mp4,TBD,99
102,ByronBay_slice255.mp4,TBD,99
104,ByronBay_slice30.mp4,TBD,99
105,ByronBay_slice35.mp4,TBD,99
106,ByronBay_slice40.mp4,TBD,99
107,ByronBay_slice45.mp4,TBD,99
108,ByronBay_slice5.mp4,TBD,99
109,ByronBay_slice50.mp4,TBD,99
110,ByronBay_slice55.mp4,TBD,99
111,ByronBay_slice60.mp4,TBD,99
113,ByronBay_slice70.mp4,TBD,99
114,ByronBay_slice75.mp4,TBD,99
116,ByronBay_slice85.mp4,TBD,99
117,ByronBay_slice90.mp4,TBD,99
118,ByronBay_slice95.mp4,TBD,99
119,FENERBAHCE_ULTRAS_VS_COPS_VIOLENCE_RIOT__2maxpower1453__e7Bv5fTBqqI.avi,TBD,99
121,French_flashmob_circle_slice10.mp4,TBD,99
122,French_flashmob_circle_slice100.mp4,TBD,99
123,French_flashmob_circle_slice105.mp4,TBD,99
124,French_flashmob_circle_slice110.mp4,TBD,99
126,French_flashmob_circle_slice120.mp4,TBD,99
127,French_flashmob_circle_slice125.mp4,TBD,99
128,French_flashmob_circle_slice130.mp4,TBD,99
129,French_flashmob_circle_slice135.mp4,TBD,99
130,French_flashmob_circle_slice140.mp4,TBD,99
131,French_flashmob_circle_slice145.mp4,TBD,99
132,French_flashmob_circle_slice15.mp4,TBD,99
133,French_flashmob_circle_slice150.mp4,TBD,99
134,French_flashmob_circle_slice155.mp4,TBD,99
135,French_flashmob_circle_slice160.mp4,TBD,99
136,French_flashmob_circle_slice165.mp4,TBD,99
137,French_flashmob_circle_slice170.mp4,TBD,99
138,French_flashmob_circle_slice175.mp4,TBD,99
139,French_flashmob_circle_slice180.mp4,TBD,99
140,French_flashmob_circle_slice185.mp4,TBD,99
142,French_flashmob_circle_slice195.mp4,TBD,99
143,French_flashmob_circle_slice20.mp4,TBD,99
144,French_flashmob_circle_slice200.mp4,TBD,99
145,French_flashmob_circle_slice205.mp4,TBD,99
146,French_flashmob_circle_slice210.mp4,TBD,99
147,French_flashmob_circle_slice215.mp4,TBD,99
148,French_flashmob_circle_slice220.mp4,TBD,99
149,French_flashmob_circle_slice225.mp4,TBD,99
150,French_flashmob_circle_slice230.mp4,TBD,99
151,French_flashmob_circle_slice235.mp4,TBD,99
152,French_flashmob_circle_slice240.mp4,TBD,99
153,French_flashmob_circle_slice245.mp4,TBD,99
154,French_flashmob_circle_slice25.mp4,TBD,99
155,French_flashmob_circle_slice250.mp4,TBD,99
156,French_flashmob_circle_slice255.mp4,TBD,99
157,French_flashmob_circle_slice260.mp4,TBD,99
161,French_flashmob_circle_slice280.mp4,TBD,99
162,French_flashmob_circle_slice285.mp4,TBD,99
163,French_flashmob_circle_slice290.mp4,TBD,99
164,French_flashmob_circle_slice295.mp4,TBD,99
165,French_flashmob_circle_slice30.mp4,TBD,99
167,French_flashmob_circle_slice305.mp4,TBD,99
168,French_flashmob_circle_slice310.mp4,TBD,99
170,French_flashmob_circle_slice320.mp4,TBD,99
171,French_flashmob_circle_slice325.mp4,TBD,99
173,French_flashmob_circle_slice335.mp4,TBD,99
174,French_flashmob_circle_slice340.mp4,TBD,99
175,French_flashmob_circle_slice345.mp4,TBD,99
176,French_flashmob_circle_slice35.mp4,TBD,99
177,French_flashmob_circle_slice350.mp4,TBD,99
178,French_flashmob_circle_slice355.mp4,TBD,99
179,French_flashmob_circle_slice360.mp4,TBD,99
180,French_flashmob_circle_slice365.mp4,TBD,99
181,French_flashmob_circle_slice370.mp4,TBD,99
182,French_flashmob_circle_slice375.mp4,TBD,99
183,French_flashmob_circle_slice40.mp4,TBD,99
184,French_flashmob_circle_slice45.mp4,TBD,99
185,French_flashmob_circle_slice5.mp4,TBD,99
186,French_flashmob_circle_slice50.mp4,TBD,99
187,French_flashmob_circle_slice55.mp4,TBD,99
188,French_flashmob_circle_slice60.mp4,TBD,99
189,French_flashmob_circle_slice65.mp4,TBD,99
190,French_flashmob_circle_slice70.mp4,TBD,99
191,French_flashmob_circle_slice75.mp4,TBD,99
192,French_flashmob_circle_slice80.mp4,TBD,99
194,French_flashmob_circle_slice90.mp4,TBD,99
195,French_flashmob_circle_slice95.mp4,TBD,99
196,HShackeysack_slice0.mp4,TBD,99
197,HShackeysack_slice10.mp4,TBD,99
198,HShackeysack_slice100.mp4,TBD,99
199,HShackeysack_slice105.mp4,TBD,99
201,HShackeysack_slice115.mp4,TBD,99
202,HShackeysack_slice120.mp4,TBD,99
205,HShackeysack_slice135.mp4,TBD,99
206,HShackeysack_slice140.mp4,TBD,99
207,HShackeysack_slice145.mp4,TBD,99
208,HShackeysack_slice15.mp4,TBD,99
209,HShackeysack_slice150.mp4,TBD,99
212,HShackeysack_slice165.mp4,TBD,99
213,HShackeysack_slice170.mp4,TBD,99
214,HShackeysack_slice175.mp4,TBD,99
215,HShackeysack_slice180.mp4,TBD,99
216,HShackeysack_slice185.mp4,TBD,99
218,HShackeysack_slice195.mp4,TBD,99
219,HShackeysack_slice20.mp4,TBD,99
221,HShackeysack_slice205.mp4,TBD,99
223,HShackeysack_slice215.mp4,TBD,99
224,HShackeysack_slice220.mp4,TBD,99
225,HShackeysack_slice225.mp4,TBD,99
227,HShackeysack_slice235.mp4,TBD,99
228,HShackeysack_slice240.mp4,TBD,99
229,HShackeysack_slice245.mp4,TBD,99
230,HShackeysack_slice25.mp4,TBD,99
231,HShackeysack_slice250.mp4,TBD,99
232,HShackeysack_slice255.mp4,TBD,99
233,HShackeysack_slice260.mp4,TBD,99
234,HShackeysack_slice265.mp4,TBD,99
238,HShackeysack_slice285.mp4,TBD,99
239,HShackeysack_slice290.mp4,TBD,99
240,HShackeysack_slice295.mp4,TBD,99
241,HShackeysack_slice30.mp4,TBD,99
242,HShackeysack_slice300.mp4,TBD,99
243,HShackeysack_slice305.mp4,TBD,99
245,HShackeysack_slice315.mp4,TBD,99
246,HShackeysack_slice320.mp4,TBD,99
247,HShackeysack_slice325.mp4,TBD,99
248,HShackeysack_slice330.mp4,TBD,99
249,HShackeysack_slice335.mp4,TBD,99
250,HShackeysack_slice340.mp4,TBD,99
251,HShackeysack_slice345.mp4,TBD,99
252,HShackeysack_slice35.mp4,TBD,99
253,HShackeysack_slice350.mp4,TBD,99
255,HShackeysack_slice360.mp4,TBD,99
256,HShackeysack_slice365.mp4,TBD,99
258,HShackeysack_slice375.mp4,TBD,99
259,HShackeysack_slice380.mp4,TBD,99
261,HShackeysack_slice390.mp4,TBD,99
263,HShackeysack_slice40.mp4,TBD,99
264,HShackeysack_slice45.mp4,TBD,99
265,HShackeysack_slice5.mp4,TBD,99
266,HShackeysack_slice50.mp4,TBD,99
268,HShackeysack_slice60.mp4,TBD,99
269,HShackeysack_slice65.mp4,TBD,99
270,HShackeysack_slice70.mp4,TBD,99
271,HShackeysack_slice75.mp4,TBD,99
272,HShackeysack_slice80.mp4,TBD,99
273,HShackeysack_slice85.mp4,TBD,99
274,HShackeysack_slice90.mp4,TBD,99
275,HShackeysack_slice95.mp4,TBD,99
276,Hooligans_violence__5x5_russian_hooligans_fight__Parkhom__GnfpwW6sMkc.avi,TBD,99
277,Hooligans_violence__ACHTUNG_skinheads_hooligans__WHITENGEL1488__H2xnId9vOo0.avi,TBD,99
278,Hooligans_violence__Accidents_Fights_Violence_Tragedies_Hooligans_Football_Fights_HORRIBLE_THINGS__darkhero00__PgujG07PUq0.avi,TBD,99
279,Hooligans_violence__Croatia_Hooligans__EXB04__JQrSRtqoU_I.avi,TBD,99
280,Hooligans_violence__English_Hooligans__JohnLaw__Wob3r1Leamw.avi,TBD,99
281,Hooligans_violence__FENERBAHCE_ULTRAS_VS_COPS_VIOLENCE_RIOT__2maxpower1453__e7Bv5fTB.avi,TBD,99
282,Hooligans_violence__FOOTBALL_HOOLIGANS_WEST_HAM_v_MILLWALL_AUGUST_2009_LONGER_VERSIO.avi,TBD,99
