video-UID,clip_title,labeler,class
10010,Australian_flash_mob_dance_slice115.mp4,Jen,0
10015,Australian_flash_mob_dance_slice140.mp4,Jen,0
10016,Australian_flash_mob_dance_slice145.mp4,Jen,0
10031,Australian_flash_mob_dance_slice210.mp4,Jen,0
10056,Australian_flash_mob_dance_slice55.mp4,Jen,0
10061,Australian_flash_mob_dance_slice80.mp4,Jen,0
10065,British_Football_Hooligans_Mix_3__MorningGlory1997__kW23lUV6oFk_slice0.mp4,Jen,0
10069,British_Football_Hooligans_Mix_3__MorningGlory1997__kW23lUV6oFk_slice25.mp4,Jen,0
10072,ByronBay_slice10.mp4,Jen,0
10073,ByronBay_slice100.mp4,Jen,0
10080,ByronBay_slice135.mp4,Jen,0
10088,ByronBay_slice170.mp4,Jen,0
10089,ByronBay_slice175.mp4,Jen,0
10091,ByronBay_slice185.mp4,Jen,0
10093,ByronBay_slice195.mp4,Jen,0
10096,ByronBay_slice205.mp4,Jen,0
10098,ByronBay_slice215.mp4,Jen,0
10105,ByronBay_slice25.mp4,Jen,0
10106,ByronBay_slice250.mp4,Jen,0
10108,ByronBay_slice260.mp4,Jen,0
10126,French_flashmob_circle_slice0.mp4,Jen,0
10130,French_flashmob_circle_slice110.mp4,Jen,0
10132,French_flashmob_circle_slice120.mp4,Jen,0
10134,French_flashmob_circle_slice130.mp4,Jen,0
10138,French_flashmob_circle_slice15.mp4,Jen,0
10147,French_flashmob_circle_slice190.mp4,Jen,0
10157,French_flashmob_circle_slice235.mp4,Jen,0
10164,French_flashmob_circle_slice265.mp4,Jen,0
10165,French_flashmob_circle_slice270.mp4,Jen,0
10171,French_flashmob_circle_slice30.mp4,Jen,0
10177,French_flashmob_circle_slice325.mp4,Jen,0
10182,French_flashmob_circle_slice35.mp4,Jen,0
10186,French_flashmob_circle_slice365.mp4,Jen,-1
10189,French_flashmob_circle_slice40.mp4,Jen,0
10191,French_flashmob_circle_slice5.mp4,Jen,0
10192,French_flashmob_circle_slice50.mp4,Jen,0
10201,French_flashmob_circle_slice95.mp4,Jen,0
10202,HShackeysack_slice0.mp4,Jen,-1
10207,HShackeysack_slice115.mp4,Jen,0
10208,HShackeysack_slice120.mp4,Jen,0
10231,HShackeysack_slice225.mp4,Jen,0
10232,HShackeysack_slice230.mp4,Jen,0
10240,HShackeysack_slice265.mp4,Jen,0
10259,HShackeysack_slice350.mp4,Jen,0
10263,HShackeysack_slice370.mp4,Jen,-1
10268,HShackeysack_slice395.mp4,Jen,-1
10269,HShackeysack_slice40.mp4,Jen,0
10280,HShackeysack_slice90.mp4,Jen,0
10281,HShackeysack_slice95.mp4,Jen,0
10289,Hooligans_violence__English_Hooligans__JohnLaw__Wob3r1Leamw.mp4,Jen,1
10296,Hooligans_violence__Football_Hooligans_Hull_Pub_Brawl_News_Report__lancashirelads__--3xfJHXlOc.mp4,Jen,0
10301,Hooligans_violence__Football_hooligans_Reading_Swansea_1993__MrSmasherlad__9I7MpDQc82k_slice15.mp4,Jen,1
10304,Hooligans_violence__Footballs_Blood_Sport_prt2__Tramppercy__P9a6qZ3r90k.mp4,Jen,0
10305,Hooligans_violence__Fuck_police_Let_s_riot__tigerland2222__Q2k-ZHCZBAk.mp4,Jen,0
10309,Hooligans_violence__I_D_Trailer__ImLonelyLinda__5Y26VMm4L7o.mp4,Jen,1
10310,Hooligans_violence__Koudlam_See_you_All__panrecord__nFWgiZxnz7o_slice0.mp4,Jen,0
10312,Hooligans_violence__Koudlam_See_you_All__panrecord__nFWgiZxnz7o_slice15.mp4,Jen,1
10323,La_cara_de_la_Violencia__soygonzalinho__GZhruAcf0q8_slice20.mp4,Jen,1
10324,La_cara_de_la_Violencia__soygonzalinho__GZhruAcf0q8_slice5.mp4,Jen,1
10338,NV_11.mp4,Jen,0
10344,NV_115.mp4,Jen,0
10347,NV_118.mp4,Jen,0
10353,NV_123.mp4,Jen,0
10356,NV_126.mp4,Jen,0
10360,NV_13_slice0.mp4,Jen,0
10364,NV_132.mp4,Jen,0
10365,NV_133.mp4,Jen,0
10370,NV_138.mp4,Jen,0
10382,NV_149.mp4,Jen,0
10388,NV_154.mp4,Jen,0
10391,NV_157.mp4,Jen,0
10396,NV_161.mp4,Jen,0
10397,NV_162.mp4,Jen,0
10398,NV_163.mp4,Jen,0
10400,NV_165.mp4,Jen,0
10408,NV_172.mp4,Jen,0
10417,NV_180.mp4,Jen,0
10425,NV_188.mp4,Jen,0
10433,NV_195.mp4,Jen,0
10438,NV_2.mp4,Jen,0
10447,NV_207.mp4,Jen,0
10467,NV_225.mp4,Jen,0
10472,NV_23.mp4,Jen,0
10487,NV_243.mp4,Jen,0
10505,NV_26.mp4,Jen,0
10512,NV_266.mp4,Jen,0
10518,NV_271.mp4,Jen,0
10522,NV_275.mp4,Jen,0
10528,NV_280.mp4,Jen,0
10543,NV_293.mp4,Jen,0
10553,NV_301_slice0.mp4,Jen,0
10558,NV_306.mp4,Jen,0
10559,NV_307.mp4,Jen,0
10601,NV_344.mp4,Jen,0
10607,NV_35.mp4,Jen,0
10618,NV_359.mp4,Jen,0
10621,NV_361.mp4,Jen,0
10631,NV_370.mp4,Jen,0
10639,NV_378.mp4,Jen,0
10646,NV_384.mp4,Jen,0
