video-UID,clip_title,labeler,class
10045,Australian_flash_mob_dance_slice275.mp4,Lance,0
10048,Australian_flash_mob_dance_slice290.mp4,Lance,0
10083,ByronBay_slice15.mp4,Lance,0
10103,ByronBay_slice240.mp4,Lance,0
10141,French_flashmob_circle_slice160.mp4,Lance,0
10158,French_flashmob_circle_slice240.mp4,Lance,0
10160,French_flashmob_circle_slice25.mp4,Lance,0
10166,French_flashmob_circle_slice275.mp4,Lance,0
10200,French_flashmob_circle_slice90.mp4,Lance,0
10210,HShackeysack_slice130.mp4,Lance,0
10220,HShackeysack_slice175.mp4,Lance,0
10222,HShackeysack_slice185.mp4,Lance,0
10235,HShackeysack_slice245.mp4,Lance,0
10237,HShackeysack_slice250.mp4,Lance,0
10329,NV_101.mp4,Lance,0
10336,NV_108.mp4,Lance,0
10411,NV_175.mp4,Lance,0
10426,NV_189.mp4,Lance,0
10510,NV_264.mp4,Lance,0
10526,NV_279.mp4,Lance,0
10564,NV_311.mp4,Lance,0
10596,NV_34.mp4,Lance,0
10622,NV_362.mp4,Lance,0
10634,NV_373.mp4,Lance,0
10660,NV_398.mp4,Lance,0
10670,NV_406.mp4,Lance,0
10687,NV_421.mp4,Lance,0
10694,NV_428.mp4,Lance,0
10709,NV_441.mp4,Lance,0
10762,NV_490.mp4,Lance,0
10765,NV_493.mp4,Lance,0
10834,NV_555.mp4,Lance,0
10937,NV_648.mp4,Lance,0
10994,NV_7.mp4,Lance,0
11034,NV_733.mp4_slice5.mp4,Lance,0
11045,NV_742.mp4_slice0.mp4,Lance,0
11111,NV_800.mp4,Lance,0
11207,NV_888.mp4,Lance,0
11208,NV_889.mp4,Lance,0
11251,NV_927.mp4,Lance,0
11253,NV_929.mp4,Lance,0
11303,NV_977.mp4,Lance,0
11341,NV_992.mp4_slice30.mp4,Lance,-1
11374,PutHandsUp_slice135.mp4,Lance,0
11390,PutHandsUp_slice60.mp4,Lance,0
11440,US_NC_asheville_drum_circle_slice120.mp4,Lance,0
11442,US_NC_asheville_drum_circle_slice130.mp4,Lance,0
11565,US_NC_asheville_drum_circle_slice685.mp4,Lance,0
11624,V_107.mp4,Lance,1
11631,V_112.mp4,Lance,1
11633,V_114.mp4,Lance,1
11694,V_167.mp4,Lance,1
11721,V_190.mp4_slice5.mp4,Lance,0
11733,V_200.mp4_slice0.mp4,Lance,1
11737,V_206.mp4_slice0.mp4,Lance,1
11750,V_218.mp4_slice0.mp4,Lance,1
11752,V_22.mp4_slice0.mp4,Lance,1
11785,V_250.mp4,Lance,1
11792,V_259.mp4,Lance,1
11797,V_263.mp4,Lance,1
11806,V_272.mp4_slice0.mp4,Lance,1
11836,V_30.mp4,Lance,1
11894,V_350.mp4,Lance,1
11920,V_371.mp4,Lance,1
11924,V_375.mp4,Lance,1
11954,V_400.mp4,Lance,1
11959,V_405.mp4,Lance,1
11968,V_412.mp4,Lance,1
11977,V_420.mp4,Lance,1
11989,V_432.mp4,Lance,1
11997,V_44.mp4,Lance,1
12025,V_463.mp4_slice5.mp4,Lance,0
12041,V_48.mp4,Lance,1
12066,V_501.mp4,Lance,1
12099,V_531.mp4_slice0.mp4,Lance,1
12116,V_547.mp4_slice0.mp4,Lance,0
12123,V_553.mp4_slice0.mp4,Lance,1
12131,V_561.mp4_slice0.mp4,Lance,1
12198,V_622.mp4_slice0.mp4,Lance,1
12212,V_634.mp4,Lance,1
12225,V_646.mp4,Lance,1
12235,V_655.mp4,Lance,0
12249,V_668.mp4,Lance,0
12263,V_680.mp4,Lance,0
12271,V_688.mp4,Lance,0
12279,V_695.mp4,Lance,1
12284,V_7.mp4,Lance,0
12290,V_704.mp4,Lance,0
12324,V_736.mp4,Lance,1
12340,V_751.mp4,Lance,1
12410,V_789.mp4_slice235.mp4,Lance,1
12446,V_789.mp4_slice60.mp4,Lance,0
12470,V_802.mp4_slice5.mp4,Lance,1
12542,V_870.mp4,Lance,1
12548,V_876.mp4,Lance,1
12619,V_94.mp4,Lance,1
12639,V_956.mp4_slice0.mp4,Lance,1
12640,V_957.mp4_slice0.mp4,Lance,1
12662,V_978.mp4,Lance,0
12677,V_991.mp4,Lance,0
12681,V_995.mp4,Lance,1
12710,councilman_protesters_argue_slice55.mp4,Lance,-1
12751,downward_strike_punches_slice1050.mp4,Lance,0
12755,downward_strike_punches_slice1070.mp4,Lance,3
12764,downward_strike_punches_slice1110.mp4,Lance,3
12788,downward_strike_punches_slice1220.mp4,Lance,0
12844,downward_strike_punches_slice1475.mp4,Lance,0
12866,downward_strike_punches_slice1570.mp4,Lance,0
12967,downward_strike_punches_slice545.mp4,Lance,3
13035,downward_strike_punches_slice850.mp4,Lance,0
13074,fans_violence__Football_Hooligans_Watford_v_Luton_2002_Version_1__MorningGlory1997__vLOTaR9eMlg.mp4_slice0.mp4,Lance,1
13137,fast_punch_drill_slice50.mp4,Lance,0
13185,football_crowds__ASB_SHOW_HOMECOMING_VIDEO_2010__deweesbrofilms__RUAVfS2OyX0.mp4,Lance,0
13190,football_crowds__Egypt_2_0_Algeria_World_Cup_2010__Azariful__joItnDgUGUc.mp4,Lance,0
13194,football_crowds__Giants_of_Brazil_6_of_6__anandaliyanage__lq-GBA34iEI.mp4,Lance,0
13227,football_crowds_cheering__FIFA_2010_USA_v_ENG_Dupont_Cirlce_Washington_DC__icallmyselfbria.mp4,Lance,0
13249,football_crowds_cheering__Spartans_What_Is_Your_Profession_Chant__PaulWaLL4EvR__KeWNYvvINZ.mp4,Lance,0
13273,football_violence__Accidents_Fights_Violence_Tragedies_Hooligans_Football_Fights_HORRIBLE_THINGS__darkhero00__PgujG07PUq0.mp4,Lance,1
13312,football_violence__Football_hooligans_Watford_Luton_2002__MrSmasherlad__ClZOLHYj_7Y.mp4,Lance,1
13339,groomsmen_dance_slice110.mp4,Lance,0
13395,groomsmen_dance_slice365.mp4,Lance,0
13398,groomsmen_dance_slice380.mp4,Lance,0
13406,groomsmen_dance_slice415.mp4,Lance,0
13432,heavy_bag_drills_slice105.mp4,Lance,3
13441,heavy_bag_drills_slice15.mp4,Lance,0
13453,heavy_bag_drills_slice200.mp4,Lance,3
13482,heavy_bag_drills_slice335.mp4,Lance,0
13495,heavy_bag_drills_slice395.mp4,Lance,0
13511,heavy_bag_drills_slice465.mp4,Lance,0
13521,heavy_bag_drills_slice70.mp4,Lance,0
13567,hook_punch_power_slice275.mp4,Lance,0
13568,hook_punch_power_slice280.mp4,Lance,4
13570,hook_punch_power_slice290.mp4,Lance,4
13603,how_to_punch_7_basics_slice135.mp4,Lance,4
13622,how_to_punch_7_basics_slice220.mp4,Lance,4
13625,how_to_punch_7_basics_slice235.mp4,Lance,4
13671,how_to_punch_hard_fast_slice160.mp4,Lance,1
13724,how_to_strike_max_power_slice180.mp4,Lance,0
13730,how_to_strike_max_power_slice205.mp4,Lance,0
13766,how_to_strike_max_power_slice370.mp4,Lance,0
13782,how_to_strike_max_power_slice445.mp4,Lance,0
13805,how_to_strike_max_power_slice55.mp4,Lance,0
13806,how_to_strike_max_power_slice550.mp4,Lance,0
13808,how_to_strike_max_power_slice560.mp4,Lance,0
13809,how_to_strike_max_power_slice565.mp4,Lance,0
13828,how_to_strike_max_power_slice650.mp4,Lance,0
13852,how_to_strike_max_power_slice760.mp4,Lance,4
13879,kicks_line_dance_slice10.mp4,Lance,0
13888,kicks_line_dance_slice140.mp4,Lance,0
13892,kicks_line_dance_slice155.mp4,Lance,0
13900,kicks_line_dance_slice20.mp4,Lance,0
13907,kicks_line_dance_slice50.mp4,Lance,0
13960,male_makeup_artist_client_slice60.mp4,Lance,0
13969,marine_punches_navy_corpsman_slice10.mp4,Lance,1
13994,mitt_drill_slice160.mp4,Lance,4
13999,mitt_drill_slice185.mp4,Lance,3
14015,mitt_drill_slice255.mp4,Lance,0
14020,mitt_drill_slice280.mp4,Lance,3
14049,obama_fist_bumps_slice0.mp4,Lance,0
14135,parents_hip_hop_slice95.mp4,Lance,0
14187,perfect_hook_punch_slice5.mp4,Lance,0
14222,rugby_downward_punch_slice150.mp4,Lance,0
14232,rugby_downward_punch_slice60.mp4,Lance,1
14243,short_strikes_slice105.mp4,Lance,3
14270,short_strikes_slice230.mp4,Lance,0
