video-UID,clip_title,labeler,class
10000,5yo_vs_Mickey_slice0.mp4_slice0.mp4,Alex,99
10001,5yo_vs_Mickey_slice10.mp4_slice0.mp4,Alex,99
10002,5yo_vs_Mickey_slice15.mp4_slice0.mp4,Alex,99
10003,5yo_vs_Mickey_slice20.mp4,Ahsen,0
10004,5yo_vs_Mickey_slice5.mp4,Jen,0
10005,Australian_flash_mob_dance_slice0.mp4,Lance,99
10006,Australian_flash_mob_dance_slice10.mp4,Alex,99
10007,Australian_flash_mob_dance_slice100.mp4,Alex,99
10008,Australian_flash_mob_dance_slice105.mp4,Alex,99
10009,Australian_flash_mob_dance_slice110.mp4,Alex,0
10010,Australian_flash_mob_dance_slice115.mp4,Jen,99
10011,Australian_flash_mob_dance_slice120.mp4,Alex,99
12,Australian_flash_mob_dance_slice125.mp4,Lance,0
10013,Australian_flash_mob_dance_slice130.mp4,Ahsen,0
10014,Australian_flash_mob_dance_slice135.mp4,Lance,99
10015,Australian_flash_mob_dance_slice140.mp4,Jen,99
10016,Australian_flash_mob_dance_slice145.mp4,Jen,99
10017,Australian_flash_mob_dance_slice15.mp4,Ahsen,0
10018,Australian_flash_mob_dance_slice150.mp4,Ahsen,99
10019,Australian_flash_mob_dance_slice155.mp4,Lance,99
10020,Australian_flash_mob_dance_slice160.mp4,Alex,99
10021,Australian_flash_mob_dance_slice165.mp4,Alex,0
10022,Australian_flash_mob_dance_slice170.mp4,Ahsen,99
23,Australian_flash_mob_dance_slice175.mp4,Jen,0
10024,Australian_flash_mob_dance_slice180.mp4,Ahsen,99
10025,Australian_flash_mob_dance_slice185.mp4,Ahsen,99
10026,Australian_flash_mob_dance_slice190.mp4,Jen,0
10027,Australian_flash_mob_dance_slice195.mp4,Alex,99
10028,Australian_flash_mob_dance_slice20.mp4,Ahsen,99
10029,Australian_flash_mob_dance_slice200.mp4,Ahsen,0
10030,Australian_flash_mob_dance_slice205.mp4,Ahsen,99
10031,Australian_flash_mob_dance_slice210.mp4,Jen,99
10032,Australian_flash_mob_dance_slice215.mp4,Lance,99
10033,Australian_flash_mob_dance_slice220.mp4,Lance,99
10034,Australian_flash_mob_dance_slice225.mp4,Alex,99
10035,Australian_flash_mob_dance_slice230.mp4,Alex,99
10036,Australian_flash_mob_dance_slice235.mp4,Alex,99
10037,Australian_flash_mob_dance_slice240.mp4,Lance,99
10038,Australian_flash_mob_dance_slice245.mp4,Alex,99
10039,Australian_flash_mob_dance_slice25.mp4,Alex,99
10040,Australian_flash_mob_dance_slice250.mp4,Lance,99
10041,Australian_flash_mob_dance_slice255.mp4,Ahsen,99
10042,Australian_flash_mob_dance_slice260.mp4,Lance,99
43,Australian_flash_mob_dance_slice265.mp4,Lance,0
10044,Australian_flash_mob_dance_slice270.mp4,Lance,99
10045,Australian_flash_mob_dance_slice275.mp4,Lance,0
10046,Australian_flash_mob_dance_slice280.mp4,Alex,99
10047,Australian_flash_mob_dance_slice285.mp4,Ahsen,99
10048,Australian_flash_mob_dance_slice290.mp4,Lance,0
10049,Australian_flash_mob_dance_slice295.mp4,Alex,99
50,Australian_flash_mob_dance_slice30.mp4,Jen,0
10051,Australian_flash_mob_dance_slice35.mp4,Alex,99
10052,Australian_flash_mob_dance_slice40.mp4,Ahsen,99
10053,Australian_flash_mob_dance_slice45.mp4,Jen,0
10054,Australian_flash_mob_dance_slice5.mp4,Alex,99
10055,Australian_flash_mob_dance_slice50.mp4,Lance,99
10056,Australian_flash_mob_dance_slice55.mp4,Jen,99
10057,Australian_flash_mob_dance_slice60.mp4,Ahsen,99
